,eating_survey.cognitive_restraint,eating_survey.emotional_eating,eating_survey.uncontrolled_eating
s499,61.111111111099994,33.3333333333,40.740740740700005
s500,44.4444444444,22.2222222222,29.6296296296
s501,27.7777777778,66.6666666667,55.5555555556
s502,16.6666666667,0.0,59.2592592593
s503,11.1111111111,22.2222222222,11.1111111111
s504,27.7777777778,22.2222222222,33.3333333333
s505,44.4444444444,55.5555555556,66.6666666667
s506,72.2222222222,66.6666666667,59.2592592593
s507,38.8888888889,88.8888888889,51.851851851899994
s508,0.0,0.0,11.1111111111
s509,33.3333333333,66.6666666667,66.6666666667
s510,77.7777777778,44.4444444444,37.037037037
s511,0.0,22.2222222222,25.925925925900003
s512,55.5555555556,22.2222222222,25.925925925900003
s513,44.4444444444,44.4444444444,29.6296296296
s514,5.5555555556,33.3333333333,22.2222222222
s515,33.3333333333,11.1111111111,33.3333333333
s516,55.5555555556,0.0,44.4444444444
s517,11.1111111111,100.0,62.962962963
s520,66.6666666667,22.2222222222,3.7037037037
s521,5.5555555556,0.0,22.2222222222
s522,50.0,44.4444444444,37.037037037
s523,22.2222222222,33.3333333333,44.4444444444
s524,33.3333333333,0.0,25.925925925900003
s526,27.7777777778,33.3333333333,48.148148148100006
s527,83.3333333333,33.3333333333,29.6296296296
s528,33.3333333333,66.6666666667,66.6666666667
s529,55.5555555556,44.4444444444,25.925925925900003
s531,66.6666666667,33.3333333333,25.925925925900003
s533,0.0,0.0,7.4074074074
s534,33.3333333333,66.6666666667,62.962962963
s535,33.3333333333,55.5555555556,59.2592592593
s538,50.0,0.0,7.4074074074
s539,16.6666666667,100.0,77.7777777778
s541,44.4444444444,33.3333333333,29.6296296296
s542,33.3333333333,11.1111111111,11.1111111111
s543,22.2222222222,77.7777777778,66.6666666667
s544,11.1111111111,77.7777777778,66.6666666667
s545,50.0,0.0,18.5185185185
s546,33.3333333333,77.7777777778,40.740740740700005
s548,33.3333333333,0.0,18.5185185185
s549,44.4444444444,33.3333333333,51.851851851899994
s550,66.6666666667,33.3333333333,18.5185185185
s551,66.6666666667,0.0,11.1111111111
s552,50.0,22.2222222222,33.3333333333
s553,72.2222222222,66.6666666667,37.037037037
s554,61.111111111099994,66.6666666667,66.6666666667
s556,77.7777777778,0.0,33.3333333333
s557,16.6666666667,11.1111111111,40.740740740700005
s559,22.2222222222,100.0,70.3703703704
s560,22.2222222222,22.2222222222,25.925925925900003
